tag,mode,threshold,window,resolved,stop_frame,stop_time,stop_py,stop_tangent_vel,final_frame,final_time,final_py,final_tangent_vel,min_tangent_vel,max_tangent_vel
AR200_gap0.001_mu0.0_t0,sustained,1e-05,10,0,2000000,200.0,15.7069,0.32060259660605483,2000000,200.0,15.7069,0.32060259660605483,0.001335342057607311,843.0863048668119
AR200_gap0.001_mu0.0_t1,sustained,1e-05,10,0,2000000,200.0,6.01594,0.2715026738776082,2000000,200.0,6.01594,0.2715026738776082,0.005976508371214884,765.8339919267283
AR200_gap0.001_mu0.0_t10,sustained,1e-05,10,0,2000000,200.0,-15.1548,0.3156138231439789,2000000,200.0,-15.1548,0.3156138231439789,0.031525160746599556,754.5700091631027
AR200_gap0.001_mu0.0_t11,sustained,1e-05,10,0,2000000,200.0,-26.9785,0.10289120005046226,2000000,200.0,-26.9785,0.10289120005046226,0.0003563550696087381,1.4182811882891777
AR200_gap0.001_mu0.0_t12,sustained,1e-05,10,0,2000000,200.0,-3.71378,0.2220037237464213,2000000,200.0,-3.71378,0.2220037237464213,0.00043551634755756297,175.70384687879937
AR200_gap0.001_mu0.0_t13,sustained,1e-05,10,0,2000000,200.0,10.2537,0.29265242616580167,2000000,200.0,10.2537,0.29265242616580167,0.003516829041591117,884.080210024893
AR200_gap0.001_mu0.0_t14,sustained,1e-05,10,0,2000000,200.0,16.6455,0.3231509435007507,2000000,200.0,16.6455,0.3231509435007507,0.010894742562565063,4582.142829303091
AR200_gap0.001_mu0.0_t15,sustained,1e-05,10,0,2000000,200.0,6.68995,0.27460375167803996,2000000,200.0,6.68995,0.27460375167803996,0.028994170097308477,822.0772545627541
AR200_gap0.001_mu0.0_t16,sustained,1e-05,10,0,2000000,200.0,-13.7576,0.3100742320603171,2000000,200.0,-13.7576,0.3100742320603171,0.009809938669466098,742.997400631392
AR200_gap0.001_mu0.0_t17,sustained,1e-05,10,0,2000000,200.0,-17.6553,0.1523405537927472,2000000,200.0,-17.6553,0.1523405537927472,0.005253239084539896,41.48695586322023
AR200_gap0.001_mu0.0_t18,sustained,1e-05,10,0,2000000,200.0,-12.0319,0.3019927537893442,2000000,200.0,-12.0319,0.3019927537893442,0.00125276164538346,563.4592197349991
AR200_gap0.001_mu0.0_t19,sustained,1e-05,10,0,2000000,200.0,-3.00796,0.22572255639336136,2000000,200.0,-3.00796,0.22572255639336136,0.010773613475786998,677.6592165601998
AR200_gap0.001_mu0.0_t2,sustained,1e-05,10,0,2000000,200.0,-26.4669,0.11067244720428748,2000000,200.0,-26.4669,0.11067244720428748,0.030659223495328403,0.2815304956606657
AR200_gap0.001_mu0.0_t3,sustained,1e-05,10,0,2000000,200.0,-15.2513,0.1651020204681985,2000000,200.0,-15.2513,0.1651020204681985,0.004042545816311097,782.8825002868771
AR200_gap0.001_mu0.0_t4,sustained,1e-05,10,0,2000000,200.0,-25.7315,0.11374631453973594,2000000,200.0,-25.7315,0.11374631453973594,0.0254013009844391,0.5878013461918409
AR200_gap0.001_mu0.0_t5,sustained,1e-05,10,0,2000000,200.0,1.95536,0.2507197978622943,2000000,200.0,1.95536,0.2507197978622943,0.0027185416557565555,1540.8206997837715
AR200_gap0.001_mu0.0_t6,sustained,1e-05,10,0,2000000,200.0,-21.8085,0.05630992417717715,2000000,200.0,-21.8085,0.05630992417717715,0.005867112151753853,0.3204246556734639
AR200_gap0.001_mu0.0_t7,sustained,1e-05,10,0,2000000,200.0,-13.756,0.17163737416795688,2000000,200.0,-13.756,0.17163737416795688,0.005734044469836164,492.7686526313656
AR200_gap0.001_mu0.0_t8,sustained,1e-05,10,0,2000000,200.0,-6.38827,0.2093912818676682,2000000,200.0,-6.38827,0.2093912818676682,0.0009336025468655341,506.4444180487196
AR200_gap0.001_mu0.0_t9,sustained,1e-05,10,0,2000000,200.0,-38.7612,0.04369244592742971,2000000,200.0,-38.7612,0.04369244592742971,0.003950605278639732,859.251101130199
AR200_gap0.001_mu0.1_t0,sustained,1e-05,10,1,41700,4.17,0.009887,2.933701342846106e-06,2000000,200.0,0.0137544,0.00034417444355777784,8.608311205293527e-08,0.0980019
AR200_gap0.001_mu0.1_t1,sustained,1e-05,10,1,51400,5.140000000000001,0.000573258,6.701640373845854e-07,2000000,200.0,0.000378329,1.1747517359749734e-06,7.546395376703957e-10,0.03064
AR200_gap0.001_mu0.1_t10,sustained,1e-05,10,1,31400,3.14,-0.000286643,3.105887650740699e-06,2000000,200.0,0.00251061,3.54972549988312e-05,2.4221196153922548e-09,0.07461
AR200_gap0.001_mu0.1_t11,sustained,1e-05,10,1,81000,8.1,-0.0115714,8.52634478426489e-06,2000000,200.0,-0.0115027,8.595505397995792e-07,3.394639315408281e-11,0.138177
AR200_gap0.001_mu0.1_t12,sustained,1e-05,10,1,248100,24.810000000000002,-0.0665721,7.4626682199901245e-06,2000000,200.0,-0.0666254,1.3080571974726578e-06,9.002123916981735e-09,0.10264321586393098
AR200_gap0.001_mu0.1_t13,sustained,1e-05,10,1,129500,12.950000000000001,-3.9262e-05,9.286941459368445e-06,2000000,200.0,6.87412e-06,3.2440595491506946e-07,4.627200414166199e-09,0.0519191
AR200_gap0.001_mu0.1_t14,sustained,1e-05,10,1,83100,8.31,0.00220051,5.117764911058382e-07,2000000,200.0,0.0020514,1.2034161152547224e-07,1.8304393759897344e-10,0.0822496
AR200_gap0.001_mu0.1_t15,sustained,1e-05,10,1,139700,13.97,0.000441651,9.93774045702819e-07,2000000,200.0,0.000390091,1.7328718406822283e-07,6.735464588927789e-08,0.0338001
AR200_gap0.001_mu0.1_t16,sustained,1e-05,10,1,232100,23.21,0.000257367,6.641825619723449e-06,2000000,200.0,7.26639e-06,1.1534173465116428e-05,1.0905149038749337e-08,0.0693091
AR200_gap0.001_mu0.1_t17,sustained,1e-05,10,1,1133300,113.33000000000001,-0.124374,5.4491672281958226e-06,2000000,200.0,-0.125833,4.826582175964947e-06,8.585967584678121e-07,0.148081659771572
AR200_gap0.001_mu0.1_t18,sustained,1e-05,10,0,2000000,200.0,-19.8973,0.21647557610850576,2000000,200.0,-19.8973,0.21647557610850576,1.6529420644544577e-06,450.00287624701315
AR200_gap0.001_mu0.1_t19,sustained,1e-05,10,1,60200,6.0200000000000005,-0.000441265,7.226465433558068e-06,2000000,200.0,-0.000300947,1.0188105725751181e-06,8.231733091789614e-09,0.0153139
AR200_gap0.001_mu0.1_t2,sustained,1e-05,10,0,2000000,200.0,95.416,0.5728870879622883,2000000,200.0,95.416,0.5728870879622883,5.811432093404231e-07,3440.40935316628
AR200_gap0.001_mu0.1_t3,sustained,1e-05,10,1,44100,4.41,-0.0034816,6.372477231880613e-06,2000000,200.0,-0.00352423,1.8041647124247848e-06,1.023452141142078e-07,0.0757752
AR200_gap0.001_mu0.1_t4,sustained,1e-05,10,1,91000,9.1,-0.00176058,8.512742980165507e-06,2000000,200.0,-0.00174955,2.7788811544737225e-06,2.717325055639475e-10,0.127276
AR200_gap0.001_mu0.1_t5,sustained,1e-05,10,1,68800,6.88,4.41688e-05,6.963528206108304e-06,2000000,200.0,0.00020128,2.750379565916479e-06,6.093997054365503e-09,0.00996436
AR200_gap0.001_mu0.1_t6,sustained,1e-05,10,1,40500,4.05,-0.0052602,9.10180034625141e-06,2000000,200.0,-0.00530754,7.045029417540083e-07,7.969203587554944e-09,0.109295
AR200_gap0.001_mu0.1_t7,sustained,1e-05,10,1,92800,9.280000000000001,-0.000817265,7.28260529748065e-06,2000000,200.0,-0.00085904,2.6227456553648803e-07,1.6081702381268537e-10,0.0691528
